OBJECTID,HELCOM_ID,Country,Year,Spill_ID,Latitude,Longitude,Length__km,Width__km_,Area__km2_,Spill_cat,EstimVol_m3,Vol_Category,Polluter,Date,Time_UTC,x,y,Wind_speed,Wind_direc,FlightType,Remarks,Type_Substance
1003,4560,Sweden,2015,SE-83,63.51916667,19.789833,1.7,0.09,0.153,Oil,0.286,2.0,Ship,1446768000000,-2209117500000,2202994.1323999986,9228699.0541,,,,,
1004,4559,Sweden,2015,SE-60,57.733333333333334,11.666666666666666,5.5,0.2,1.1,Oil,0.1997,2.0,Unknown,1438905600000,-2209122000000,1298727.3927000016,7911506.584899999,,,,,
1005,4558,Sweden,2015,SE-81,58.61666,17.25,0.7,0.3,0.21,Oil,0.182,2.0,Unknown,1446163200000,-2209106100000,1920261.2162000015,8097989.686700001,,,,,
1006,4557,Sweden,2015,DK-23,56.183,12.4935,1.1,0.1,0.11,Oil,0.16511,2.0,Unknown,1432857600000,-2209111680000,1390770.0582999997,7594932.368100002,20,223.0,,,
1007,4556,Sweden,2015,FI/SE-3,59.925,19.42778,69.68,15.25,1.179,Oil,0.15,2.0,Ship,1432598400000,-2209116600000,2162690.5769000016,8383058.862099998,,,,,
1008,4555,Sweden,2015,SE-07,55.49666666666667,14.696666666666667,4.25,0.05,0.2125,Oil,0.085,1.0,Unknown,1424908800000,-2209115400000,1636025.4497000016,7458861.847499996,,,,,
1009,4554,Sweden,2015,DK-12,55.11333,13.3,1.6,0.4,0.64,Oil,0.036,1.0,Unknown,1428451200000,-2209117560000,1480549.2276000008,7383892.2946000025,,,,,
101,5462,Germany,2021,GE-04/DK-12,54.9275,13.3778,3.3,0.5,1.65,Oil,0.041256,1.0,Unknown,1628121600000,-2209127100000,1489209.8839000016,7347808.0361,10,60.0,N,SHEEN  - NOT COMBATABLE,
1011,4552,Sweden,2015,SE-18,55.9765,12.6761666666667,0.15,0.15,0.0225,Oil,0.0225,1.0,Unknown,1430006400000,-2209128000000,1411104.4186000004,7553738.892499998,,,,,
1012,4551,Sweden,2015,SE-08,60.87166666666667,19.206666666666667,1.6,0.38,0.608,Oil,0.015,1.0,Unknown,1426464000000,-2209131600000,2138076.3532,8596415.311399996,,,,,
1013,4550,Sweden,2015,DK-17,55.13516666666666,13.267,0.6,0.3,0.18,Oil,0.00648,1.0,Unknown,1431302400000,-2209117560000,1476875.6843000017,7388143.522500001,,,N, ,
1014,4549,Sweden,2015,SE-76,59.388666,18.32666,1.2,0.005,0.006,Oil,0.0041,1.0,Ship,1444780800000,-2209129800000,2040114.4591999985,8264870.972099997,,,,,
1015,4548,Sweden,2015,SE-86,59.1295,18.411166666666666,0.65,0.02,0.013000000000000001,Oil,0.003,1.0,Unknown,1447459200000,-2209125300000,2049521.6983000003,8208429.604800001,,,,Mineraloil,
1016,4547,Sweden,2015,SE-52,59.7547,19.0935,0.22,0.18,0.0396,Oil,0.0021,1.0,Unknown,1436486400000,-2209112280000,2125478.6974,8345325.877300002,,,,,
1017,4546,Sweden,2015,SE-13,59.385,18.416833333333333,2.0,0.01,0.02,Oil,0.0021,1.0,Ship,1428883200000,-2209116000000,2050152.5086000003,8264069.5858,,,,,
1018,4545,Sweden,2015,SE-59,55.590666666666664,12.924666666666667,0.02,0.01,0.0002,Oil,0.001,1.0,Ship,1438300800000,-2209110600000,1438767.3121000007,7477356.8024,,,,,
1019,4544,Sweden,2015,SE-38,59.721666666666664,19.068833333333334,0.35,0.1,0.034999999999999996,Oil,0.001,1.0,Ship,1433289600000,-2209130700000,2122732.8167000003,8338029.0449,,,,,
102,5461,Finland,2021,FI-01,60.18716666666667,25.024,2.59,0.349,0.026,Oil,0.0017,1.0,Ship,1610064000000,-2209120920000,2785658.9376000017,8441526.894199997,,,N,Moored ship,
1020,4543,Sweden,2015,SE-10,59.461333333333336,18.6515,0.46,0.004,0.00184,Oil,0.001,1.0,Unknown,1426982400000,-2209113900000,2076275.4825999998,8280773.936399996,,,,,
1021,4542,Sweden,2015,SE-06,56.16016666666667,14.739666666666666,0.15,0.01,0.0015,Oil,0.001,1.0,Unknown,1424217600000,-2209113000000,1640812.1878000014,7590366.605700001,,,,Hydraulic oil. Discharge from boats/ vessels close to shore/ in harbor,
1022,4541,Sweden,2015,SE-66,55.583333333333336,12.910833333333333,0.05,0.015,0.00075,Oil,0.0005,1.0,Unknown,1440979200000,-2209127400000,1437227.3922999986,7475912.3418999985,,,,,
